OrderID,CustomerID,OrderDate,ShipDate,DeliveryStatus,City,Amount,Category
ORD00001,CUST7684,2024-04-27,2024-05-05,Cancelled,Hyderabad,2972.43,Fashion
ORD00002,CUST1226,2024-04-27,2024-05-01,Delayed,Mumbai,4150.75,Fashion
ORD00003,CUST4718,2024-04-22,2024-04-25,Delayed,Chennai,714.71,Electronics
ORD00004,CUST1337,2024-04-12,2024-04-13,Delivered,Mumbai,854.37,Fashion
ORD00005,CUST9688,2024-04-25,2024-04-29,Delivered,Mumbai,3768.9,Grocery
ORD00006,CUST7834,2024-04-02,2024-04-12,Delayed,Delhi,3485.94,Fashion
ORD00007,CUST7073,2024-04-03,2024-04-04,Delayed,Chennai,2458.82,Electronics
ORD00008,CUST5206,2024-04-19,2024-04-22,Delayed,Mumbai,1634.35,Fashion
ORD00009,CUST6772,2024-04-30,2024-05-07,Delayed,Chennai,1043.49,Grocery
ORD00010,CUST3748,2024-04-20,2024-04-27,Delivered,Mumbai,1306.87,Electronics
ORD00011,CUST8221,2024-04-21,2024-04-23,Delivered,Bengaluru,3119.95,Grocery
ORD00012,CUST9808,2024-04-19,2024-04-26,Delivered,Delhi,3469.96,Grocery
ORD00013,CUST8252,2024-04-01,2024-04-07,Delivered,Mumbai,2248.96,Grocery
ORD00014,CUST6045,2024-04-25,2024-05-05,Delivered,Bengaluru,2712.98,Grocery
ORD00015,CUST5104,2024-04-20,2024-04-22,Delivered,Bengaluru,2978.01,Fashion
ORD00016,CUST8365,2024-04-14,2024-04-19,Delayed,Delhi,1458.28,Fashion
ORD00017,CUST4882,2024-04-20,2024-04-25,Delivered,Delhi,1693.71,Electronics
ORD00018,CUST1455,2024-04-29,2024-05-09,Delivered,Delhi,877.14,Electronics
ORD00019,CUST6345,2024-04-10,2024-04-15,Delayed,Bengaluru,667.07,Electronics
ORD00020,CUST3062,2024-04-25,2024-04-30,Delivered,Hyderabad,4164.47,Electronics
ORD00021,CUST2532,2024-04-19,2024-04-24,Delayed,Chennai,3821.13,Fashion
ORD00022,CUST3891,2024-04-14,2024-04-23,Delivered,Chennai,1759.31,Fashion
ORD00023,CUST5378,2024-04-08,2024-04-14,Delivered,Hyderabad,4418.91,Electronics
ORD00024,CUST1504,2024-04-22,2024-04-23,Cancelled,Delhi,1823.04,Grocery
ORD00025,CUST6825,2024-04-01,2024-04-03,Delivered,Delhi,4225.81,Electronics
ORD00026,CUST5060,2024-04-28,2024-05-02,Delivered,Chennai,3867.87,Grocery
ORD00027,CUST9704,2024-04-09,2024-04-13,Delivered,Delhi,4831.71,Grocery
ORD00028,CUST9524,2024-04-06,2024-04-16,Delivered,Hyderabad,2495.08,Electronics
ORD00029,CUST1657,2024-04-07,2024-04-11,Delivered,Mumbai,4412.8,Electronics
ORD00030,CUST8936,2024-04-25,2024-05-01,Delivered,Bengaluru,1455.05,Grocery
ORD00031,CUST5620,2024-04-15,2024-04-18,Delivered,Hyderabad,4305.17,Grocery
ORD00032,CUST8832,2024-04-01,2024-04-08,Delivered,Hyderabad,4247.92,Fashion
ORD00033,CUST5318,2024-04-22,2024-04-29,Cancelled,Delhi,2335.45,Electronics
ORD00034,CUST2310,2024-04-10,2024-04-14,Delivered,Delhi,900.12,Electronics
ORD00035,CUST3580,2024-04-13,2024-04-17,Delivered,Hyderabad,2185.63,Electronics
ORD00036,CUST1948,2024-04-30,2024-05-10,Delivered,Bengaluru,4863.81,Grocery
ORD00037,CUST4172,2024-04-09,2024-04-19,Delivered,Hyderabad,4617.58,Grocery
ORD00038,CUST1743,2024-04-14,2024-04-18,Delivered,Mumbai,2111.93,Electronics
ORD00039,CUST3893,2024-04-14,2024-04-24,Delivered,Mumbai,1869.73,Fashion
ORD00040,CUST4196,2024-04-05,2024-04-13,Delivered,Bengaluru,2767.55,Grocery
ORD00041,CUST8984,2024-04-17,2024-04-23,Delivered,Bengaluru,1678.98,Fashion
ORD00042,CUST5624,2024-04-06,2024-04-11,Delivered,Bengaluru,3465.49,Grocery
ORD00043,CUST3227,2024-04-07,2024-04-09,Delivered,Mumbai,1567.77,Electronics
ORD00044,CUST7097,2024-04-20,2024-04-23,Delivered,Delhi,4110.36,Electronics
ORD00045,CUST9901,2024-04-11,2024-04-16,Delivered,Delhi,4550.96,Electronics
ORD00046,CUST9563,2024-04-04,2024-04-09,Delivered,Chennai,2327.38,Fashion
ORD00047,CUST7119,2024-04-24,2024-05-02,Delayed,Hyderabad,1203.06,Fashion
ORD00048,CUST7487,2024-04-01,2024-04-11,Delivered,Bengaluru,3946.62,Fashion
ORD00049,CUST2410,2024-04-15,2024-04-24,Delivered,Chennai,3439.44,Fashion
ORD00050,CUST8436,2024-04-23,2024-04-29,Delivered,Bengaluru,4086.96,Fashion
ORD00051,CUST6287,2024-04-04,2024-04-11,Delivered,Mumbai,2202.2,Grocery
ORD00052,CUST7462,2024-04-11,2024-04-13,Delivered,Chennai,1014.29,Grocery
ORD00053,CUST2506,2024-04-08,2024-04-17,Delayed,Delhi,1744.3,Fashion
ORD00054,CUST7548,2024-04-26,2024-05-01,Delivered,Chennai,2241.54,Grocery
ORD00055,CUST7392,2024-04-27,2024-05-06,Cancelled,Hyderabad,1543.84,Electronics
ORD00056,CUST1689,2024-04-17,2024-04-20,Delivered,Mumbai,4388.76,Grocery
ORD00057,CUST7198,2024-04-07,2024-04-12,Delivered,Delhi,4919.04,Electronics
ORD00058,CUST1380,2024-04-11,2024-04-14,Delivered,Chennai,2465.24,Electronics
ORD00059,CUST5343,2024-04-28,2024-05-02,Delivered,Delhi,4905.11,Electronics
ORD00060,CUST8580,2024-04-05,2024-04-09,Delivered,Hyderabad,3152.2,Fashion
ORD00061,CUST2320,2024-04-17,2024-04-25,Delivered,Mumbai,4195.05,Electronics
